,frame_num,num_of_faces,percentage
0,2609_frame.jpg,1,[6.105656692162037]
1,2323_frame.jpg,5,"[7.6046279315948775, 1.6119112582189024, 1.7898942911243312, 3.7579579848220543, 4.19331752918549]"
2,5735_frame.jpg,0,[]
3,7730_frame.jpg,0,[]
4,5029_frame.jpg,0,[]
5,5503_frame.jpg,0,[]
6,2115_frame.jpg,1,[5.904936559765025]
7,97_frame.jpg,0,[]
8,5818_frame.jpg,1,[7.5295209554054665]
9,7506_frame.jpg,0,[]
10,2924_frame.jpg,1,[14.820861475153196]
11,7676_frame.jpg,0,[]
12,7395_frame.jpg,0,[]
13,5359_frame.jpg,1,[16.550371993857254]
14,5390_frame.jpg,1,[14.611381968361886]
15,5673_frame.jpg,0,[]
16,2786_frame.jpg,1,[14.299958253194376]
17,2265_frame.jpg,2,"[10.468197879858657, 0.8873059891756497]"
18,2862_frame.jpg,0,[]
19,7489_frame.jpg,0,[]
20,7440_frame.jpg,0,[]
21,5997_frame.jpg,0,[]
22,2579_frame.jpg,1,[6.241333810439683]
23,2053_frame.jpg,0,[]
24,5445_frame.jpg,0,[]
25,379_frame.jpg,1,[10.204857539025808]
26,6446_frame.jpg,0,[]
27,653_frame.jpg,1,[7.5295209554054665]
28,3864_frame.jpg,0,[]
29,4991_frame.jpg,1,[20.172839230069627]
30,1099_frame.jpg,0,[]
31,4958_frame.jpg,0,[]
32,1050_frame.jpg,1,[1.5095943105067764]
33,3055_frame.jpg,0,[]
34,6994_frame.jpg,0,[]
35,1861_frame.jpg,0,[]
36,4169_frame.jpg,0,[]
37,4443_frame.jpg,1,[9.519017160919025]
38,1785_frame.jpg,3,"[1.0483293822963724, 0.22830284325565448, 0.6709308046696785]"
39,1266_frame.jpg,0,[]
40,186_frame.jpg,1,[1.3465208510384519]
41,465_frame.jpg,1,[1.5433272204082242]
42,6393_frame.jpg,0,[]
43,6670_frame.jpg,1,[8.063097314785823]
44,4675_frame.jpg,1,[7.985753902580847]
45,4396_frame.jpg,0,[]
46,3749_frame.jpg,0,[]
47,3263_frame.jpg,1,[15.99964962502423]
48,3780_frame.jpg,0,[]
49,4505_frame.jpg,1,[9.773411757689612]
50,1927_frame.jpg,1,[9.267977218171788]
51,3439_frame.jpg,0,[]
52,3113_frame.jpg,1,[1.6119112582189024]
53,1116_frame.jpg,0,[]
54,3922_frame.jpg,1,[26.770325475988134]
55,715_frame.jpg,0,[]
56,6500_frame.jpg,0,[]
57,3325_frame.jpg,0,[]
58,838_frame.jpg,1,[8.614937901626634]
59,4219_frame.jpg,0,[]
60,4733_frame.jpg,2,"[0.5637682455904937, 1.5774328696455995]"
61,6736_frame.jpg,0,[]
62,523_frame.jpg,0,[]
63,1320_frame.jpg,1,[4.027262155029745]
64,7326_frame.jpg,0,[]
65,5323_frame.jpg,0,[]
66,5609_frame.jpg,0,[]
67,2735_frame.jpg,1,[18.846446303171266]
68,7110_frame.jpg,0,[]
69,2818_frame.jpg,1,[6.587049544512531]
70,5924_frame.jpg,0,[]
71,2503_frame.jpg,4,"[0.7164050036528454, 0.8118262736503108, 0.9132113730226179, 0.8118262736503108]"
